token_address,from_address,to_address,asset,amount,transfer_time,relation_type,source_type,confidence_score,evidence_note
4TKYts6M7Y1RzW6xbHo92anF2LBrRMiFFsANoTr9pump,is6MTRHEgyFLNTfYcuV4QBWLjrZBfmhVNYR6ccgr8KV,9dH2yo6MruFZiFNRbznsesNT4xraXiZPFzgmJhtqXMKW,SOL/USDC unknown,unknown,unknown,pre_buy_funding_candidate,GMGN native_transfer L1,0.6,疑似资金来源候选；金额/时间需要链上补查
4TKYts6M7Y1RzW6xbHo92anF2LBrRMiFFsANoTr9pump,H3bEByub3dJQxW7tRv5RjfoqTXwrtewT2nLZ6hDbiTw7,9sEeYpszy186AxA9k4B4NTT4k5pTy6nhqZ7BCMo6xrgU,SOL/USDC unknown,unknown,unknown,pre_buy_funding_candidate,GMGN native_transfer L1,0.6,疑似资金来源候选；金额/时间需要链上补查
4TKYts6M7Y1RzW6xbHo92anF2LBrRMiFFsANoTr9pump,92MUhPtzt9yqKxPT99G3u2hwcnr4Sp9KSaUmKWBnJrJr,9tvG7kNpD3jw6NVHrmybod7smJUJYNTGPECe2FqHRScp,SOL/USDC unknown,unknown,unknown,pre_buy_funding_candidate,GMGN native_transfer L1,0.6,疑似资金来源候选；金额/时间需要链上补查
4TKYts6M7Y1RzW6xbHo92anF2LBrRMiFFsANoTr9pump,7LSUFqRqfp6xPprkPEgyqGWubx3f4WZ4RpJL4Hfc45Lk,AAm9gtbKRfJbBq46qbU1oT1qGufoeEHnozFcefvdQ4uD,SOL/USDC unknown,unknown,unknown,pre_buy_funding_candidate,GMGN native_transfer L1,0.6,疑似资金来源候选；金额/时间需要链上补查
4TKYts6M7Y1RzW6xbHo92anF2LBrRMiFFsANoTr9pump,6obgiQAR4DrJXLPXHX2tHvQthtjSsBqNFLm6PAjXwnoS,AFHQuVHQgCubT1RXGZfewV5KJJhiUoGD1UUhW1uEkNvL,SOL/USDC unknown,unknown,unknown,pre_buy_funding_candidate,GMGN native_transfer L1,0.6,疑似资金来源候选；金额/时间需要链上补查
4TKYts6M7Y1RzW6xbHo92anF2LBrRMiFFsANoTr9pump,H4so8gKPUJCv3HEi3b7mQKhJR6oAoDaLgJdzqFXZtpYw,ALUJjY1UvHEcK3jULUXvZJ6iBsLWqViKY2zGFxB1QvQc,SOL/USDC unknown,unknown,unknown,pre_buy_funding_candidate,GMGN native_transfer L1,0.6,疑似资金来源候选；金额/时间需要链上补查
4TKYts6M7Y1RzW6xbHo92anF2LBrRMiFFsANoTr9pump,Bf5FY6a9JcSz1NND3BNFR1jJ4R7D9TiBEe5zCo6dw1Hd,BJKzzNZftU6ojC7MPD81DVN9jgtfwrp41PUGFKkkS3h1,SOL/USDC unknown,unknown,unknown,pre_buy_funding_candidate,GMGN native_transfer L1,0.6,疑似资金来源候选；金额/时间需要链上补查
4TKYts6M7Y1RzW6xbHo92anF2LBrRMiFFsANoTr9pump,2JbnXYSotNy8z9LeM556EvgA23zuUxtzBtNmqgH2bJ8a,BjN9mzR4uBcyrWSGbzvP2f9twhEQ8tKpnrKn8G8gTQHC,SOL/USDC unknown,unknown,unknown,pre_buy_funding_candidate,GMGN native_transfer L1,0.6,疑似资金来源候选；金额/时间需要链上补查
4TKYts6M7Y1RzW6xbHo92anF2LBrRMiFFsANoTr9pump,FPYb7kDNSJ1JUDkjWKHZVjeYsmLMLD8EfU2r7tf2av7H,BsoQfMQsFq6UH9aQmE7DCbZ7gaY1T6U3HpkPWXQant9h,SOL/USDC unknown,unknown,unknown,pre_buy_funding_candidate,GMGN native_transfer L1,0.6,疑似资金来源候选；金额/时间需要链上补查
4TKYts6M7Y1RzW6xbHo92anF2LBrRMiFFsANoTr9pump,27yaRhRVYxBRVZdkijQPDFEgyWHsepaGoEv2LZeex5rC,C5cJ41GgPDPXLCtsCyoqLderiaBcw8rTdwDg6uAkDAv8,SOL/USDC unknown,unknown,unknown,pre_buy_funding_candidate,GMGN native_transfer L1,0.6,疑似资金来源候选；金额/时间需要链上补查
4TKYts6M7Y1RzW6xbHo92anF2LBrRMiFFsANoTr9pump,8k48SbRcXsG5U8G9HxFc7cnEg8NH4U3UasZZ9veUyG4W,CAdSfkXLChCcPmqP59jnQGQzYAAxBhkXoWyW2XSgHFoD,SOL/USDC unknown,unknown,unknown,pre_buy_funding_candidate,GMGN native_transfer L1,0.6,疑似资金来源候选；金额/时间需要链上补查
4TKYts6M7Y1RzW6xbHo92anF2LBrRMiFFsANoTr9pump,ESZERcwH15AHRVyeapZer1xFQqb11JyhYuEjPukHvBge,CN4AG1iqQeLaZrQB2qsfJaAQgUBHeSXUK6UvC31n77UJ,SOL/USDC unknown,unknown,unknown,pre_buy_funding_candidate,GMGN native_transfer L1,0.6,疑似资金来源候选；金额/时间需要链上补查
4TKYts6M7Y1RzW6xbHo92anF2LBrRMiFFsANoTr9pump,13AUQ4GkC3Fis5wp7Bu38AtiJ8wMusgSEDmCXt46LeTK,CSkFRAFfBm8DBnddrUqeYoU6SevCK96CZBzzjbvgbdyN,SOL/USDC unknown,unknown,unknown,pre_buy_funding_candidate,GMGN native_transfer L1,0.6,疑似资金来源候选；金额/时间需要链上补查
4TKYts6M7Y1RzW6xbHo92anF2LBrRMiFFsANoTr9pump,9bTo1PgDhJUQhddBt4hgn1XMTde8ht5WsPU7S9cTKGT3,ChYMBKXzKRuSrRH6ESAMwAeoMPymu1CYJsA3SrycnrYd,SOL/USDC unknown,unknown,unknown,pre_buy_funding_candidate,GMGN native_transfer L1,0.6,疑似资金来源候选；金额/时间需要链上补查
4TKYts6M7Y1RzW6xbHo92anF2LBrRMiFFsANoTr9pump,9t3vuWNGMUJm4UNyDaxAhaQEh8swyd9ZwWjZGU1ajRAg,CjNHRjqVxZ9CW36EA7NbiTkN4Ck2LUzNhSW2YUNfWk25,SOL/USDC unknown,unknown,unknown,pre_buy_funding_candidate,GMGN native_transfer L1,0.6,疑似资金来源候选；金额/时间需要链上补查
4TKYts6M7Y1RzW6xbHo92anF2LBrRMiFFsANoTr9pump,7nzzLF6ityiXtDtfd7nTuv6W9ccj2cePkCXbvchPJAF7,Cph7W83NqNNZ6dmVMVJnQ9ekRBi6nSTQiY6FKo1aCpd,SOL/USDC unknown,unknown,unknown,pre_buy_funding_candidate,GMGN native_transfer L1,0.6,疑似资金来源候选；金额/时间需要链上补查
4TKYts6M7Y1RzW6xbHo92anF2LBrRMiFFsANoTr9pump,3pYHkYpKC4eUBZVZ8kzChGYb5Djpgrva36NMyU3wZfMM,D15Pekc36Q6a7iupGQNi5WANCvF7cBpJfiWYu3cPsmVk,SOL/USDC unknown,unknown,unknown,pre_buy_funding_candidate,GMGN native_transfer L1,0.6,疑似资金来源候选；金额/时间需要链上补查
4TKYts6M7Y1RzW6xbHo92anF2LBrRMiFFsANoTr9pump,8gDupxD3tmTMT9KpGfJBVvA15QyAwZ5kukdoYDxvxukk,DQmMnakiKr1YNE2gcpggLCzBrauBwFbQkAaao2FTbjgp,SOL/USDC unknown,unknown,unknown,pre_buy_funding_candidate,GMGN native_transfer L1,0.6,疑似资金来源候选；金额/时间需要链上补查
4TKYts6M7Y1RzW6xbHo92anF2LBrRMiFFsANoTr9pump,4E6ZGeFxvUcT2E7uHVbZEWFCVwrsMH9BT4cL2URU1Uxk,DoRve1JVS2gfwtPQhWS7LP9VmseNvCF66HBXjeWcmYtm,SOL/USDC unknown,unknown,unknown,pre_buy_funding_candidate,GMGN native_transfer L1,0.6,疑似资金来源候选；金额/时间需要链上补查
4TKYts6M7Y1RzW6xbHo92anF2LBrRMiFFsANoTr9pump,BFphapYhiGfLUfiJD5zMMb9ffc4XK6KU9sZz98dyL38b,Dt9UH25vJguSK7a1QjDZ3XSB6ycaygxUwWm1iq8wjtTD,SOL/USDC unknown,unknown,unknown,pre_buy_funding_candidate,GMGN native_transfer L1,0.6,疑似资金来源候选；金额/时间需要链上补查
