doc_id,module,gap_type,detail
CURRENT_CONTEXT_baf6f9ba3568,unified_index,NOT_VISIBLE_IN_CLI,CLI 中不可见
CURRENT_CONTEXT_baf6f9ba3568,unified_index,NO_TEST,缺少对应测试
CURRENT_CONTEXT_baf6f9ba3568,unified_index,NO_SOURCE_TRACE,缺少源文件或来源追踪
CURRENT_CONTEXT_baf6f9ba3568,unified_index,NO_ACCEPTANCE,缺少验收声明
CURRENT_CONTEXT_baf6f9ba3568,telegram,MISSING_MODULE,模块在映射中缺失或未接入
CURRENT_CONTEXT_baf6f9ba3568,telegram,SURFACE_TEMPLATE,缺失模块也没有表层模板
CURRENT_CONTEXT_baf6f9ba3568,telegram,NOT_RUNTIME_CONNECTED,未与 runtime 主流程连接
CURRENT_CONTEXT_baf6f9ba3568,telegram,NOT_VISIBLE_IN_WEB,Web 中不可见
CURRENT_CONTEXT_baf6f9ba3568,telegram,NOT_VISIBLE_IN_CLI,CLI 中不可见
CURRENT_CONTEXT_baf6f9ba3568,telegram,NO_TEST,缺少对应测试
CURRENT_CONTEXT_baf6f9ba3568,telegram,NO_SOURCE_TRACE,缺少源文件或来源追踪
CURRENT_CONTEXT_baf6f9ba3568,telegram,NO_ACCEPTANCE,缺少验收声明
CURRENT_CONTEXT_baf6f9ba3568,web_dashboard,MISSING_MODULE,模块在映射中缺失或未接入
CURRENT_CONTEXT_baf6f9ba3568,web_dashboard,SURFACE_TEMPLATE,缺失模块也没有表层模板
CURRENT_CONTEXT_baf6f9ba3568,web_dashboard,NOT_RUNTIME_CONNECTED,未与 runtime 主流程连接
CURRENT_CONTEXT_baf6f9ba3568,web_dashboard,NOT_VISIBLE_IN_TG,TG 中不可见
CURRENT_CONTEXT_baf6f9ba3568,web_dashboard,NOT_VISIBLE_IN_CLI,CLI 中不可见
CURRENT_CONTEXT_baf6f9ba3568,web_dashboard,NO_TEST,缺少对应测试
CURRENT_CONTEXT_baf6f9ba3568,web_dashboard,NO_SOURCE_TRACE,缺少源文件或来源追踪
CURRENT_CONTEXT_baf6f9ba3568,web_dashboard,NO_ACCEPTANCE,缺少验收声明
CURRENT_CONTEXT_baf6f9ba3568,cli,MISSING_MODULE,模块在映射中缺失或未接入
CURRENT_CONTEXT_baf6f9ba3568,cli,SURFACE_TEMPLATE,缺失模块也没有表层模板
CURRENT_CONTEXT_baf6f9ba3568,cli,NOT_RUNTIME_CONNECTED,未与 runtime 主流程连接
CURRENT_CONTEXT_baf6f9ba3568,cli,NOT_VISIBLE_IN_TG,TG 中不可见
CURRENT_CONTEXT_baf6f9ba3568,cli,NOT_VISIBLE_IN_WEB,Web 中不可见
CURRENT_CONTEXT_baf6f9ba3568,cli,NO_TEST,缺少对应测试
CURRENT_CONTEXT_baf6f9ba3568,cli,NO_SOURCE_TRACE,缺少源文件或来源追踪
CURRENT_CONTEXT_baf6f9ba3568,cli,NO_ACCEPTANCE,缺少验收声明
CURRENT_CONTEXT_baf6f9ba3568,runtime,MISSING_MODULE,模块在映射中缺失或未接入
CURRENT_CONTEXT_baf6f9ba3568,runtime,SURFACE_TEMPLATE,缺失模块也没有表层模板
CURRENT_CONTEXT_baf6f9ba3568,runtime,NOT_RUNTIME_CONNECTED,未与 runtime 主流程连接
CURRENT_CONTEXT_baf6f9ba3568,runtime,NO_TEST,缺少对应测试
CURRENT_CONTEXT_baf6f9ba3568,runtime,NO_SOURCE_TRACE,缺少源文件或来源追踪
CURRENT_CONTEXT_baf6f9ba3568,runtime,NO_ACCEPTANCE,缺少验收声明
CURRENT_CONTEXT_baf6f9ba3568,audit,MISSING_MODULE,模块在映射中缺失或未接入
CURRENT_CONTEXT_baf6f9ba3568,audit,SURFACE_TEMPLATE,缺失模块也没有表层模板
